mouse;Hz;start;stop
132; 0; 1; 20
132; 0; 21; 26
132; 0; 27; 32
132; 0; 36; 40
132; 0; 42; 47
132; 1; 0; 2
132; 1; 5; 14
132; 1; 17; 26
132; 1; 29; 36
132; 1; 47; 48
132; 5; 0; 5
132; 5; 41; 48
132; 20; 0; 5
132; 40; 0; 1
133; 0; 0; 18
133; 0; 20; 31
133; 0; 33; 35
133; 0; 37; 39
133; 1; 0; 5
133; 1; 7; 11
133; 1; 14; 18
133; 1; 22; 24
133; 1; 28; 29
133; 1; 39; 41
133; 1; 44; 47
133; 5; 0; 4
133; 5; 7; 17
133; 5; 21; 22
133; 20; 0; 2
133; 40; 0; 1
134; 0; 0; 7
134; 0; 22; 29
134; 0; 46; 48
134; 1; 0; 7
134; 1; 8; 13
134; 1; 15; 22
134; 1; 41; 48
134; 5; 0; 4
134; 5; 10; 11
134; 5; 14; 15
134; 20; 0; 1
134; 40; 0; 1